variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
beta[1],122.3686405,121.50678,54.78079872,55.46632919,33.70106355,213.3337835,1.00003736,4909.519993,5054.012154
beta[2],-152.9726779,-152.71606,29.96022238,30.19195551,-201.687327,-104.14118,0.999955091,7700.984036,6227.503732
beta[3],0.94952082,0.950358535,0.041522031,0.041287185,0.880448182,1.01764414,1.000283314,8436.421705,6286.43061
beta[4],-0.419307603,-0.41195965,0.927238612,0.942553239,-1.935834435,1.09674272,0.999782564,5819.69893,5498.131214
beta[5],3.714484731,3.718204,1.855035555,1.872230764,0.612553991,6.75753522,1.000034003,5652.073363,5566.900139
beta[6],3.150578489,3.2685141,20.87851013,21.0190884,-31.15335605,37.6810439,1.000270264,7259.848412,6317.074972
beta[7],4.339285026,4.30814065,20.68020106,20.66544731,-29.6633881,38.58299915,1.000527602,6288.268015,5590.757597
beta[8],7.23840949,7.19409005,17.45676114,17.29147292,-21.2943888,36.0390201,1.000004405,7384.930313,5736.347401
beta[9],-1.745140752,-2.03783945,17.60852103,17.4938854,-30.7905178,27.45869675,1.000135254,7819.379988,5424.083111
beta[10],-47.80106281,-48.052193,27.13862382,26.94120823,-91.57865165,-2.15053181,0.999979028,9146.564997,5639.699639
sigma,177.9416285,177.83772,5.883511586,5.898197928,168.596999,187.8627265,0.999785505,8134.387182,6051.511374
